data,date,time,alertDate,category,category_desc,matrix_id,rid,cleaned_city,outLat,outLong,inLat,inLong
באר שבע 288,2014-07-24,17:05:26,2014-07-24T17:05:00,1,ירי רקטות וטילים,1,1,באר שבע,31.2521018,34.7867691,31.513,34.452
 באר שבע 289,2014-07-24,17:05:26,2014-07-24T17:05:00,1,ירי רקטות וטילים,1,1,באר שבע,31.2521018,34.7867691,31.513,34.452
 באר שבע 291,2014-07-24,17:05:26,2014-07-24T17:05:00,1,ירי רקטות וטילים,1,1,באר שבע,31.2521018,34.7867691,31.513,34.452
באר שבע 288,2014-07-24,17:05:35,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,2,באר שבע,31.2521018,34.7867691,31.513,34.452
 אשקלון 256,2014-07-24,17:05:35,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,2,אשקלון,31.6687885,34.5742523,31.513,34.452
 באר שבע 289,2014-07-24,17:05:35,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,2,באר שבע,31.2521018,34.7867691,31.513,34.452
 באר שבע 291,2014-07-24,17:05:35,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,2,באר שבע,31.2521018,34.7867691,31.513,34.452
אשקלון 256,2014-07-24,17:05:59,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,3,אשקלון,31.6687885,34.5742523,31.513,34.452
 באר שבע 289,2014-07-24,17:05:59,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,3,באר שבע,31.2521018,34.7867691,31.513,34.452
 באר שבע 291,2014-07-24,17:05:59,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,3,באר שבע,31.2521018,34.7867691,31.513,34.452
באר שבע 289,2014-07-24,17:06:02,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,4,באר שבע,31.2521018,34.7867691,31.513,34.452
 באר שבע 291,2014-07-24,17:06:02,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,4,באר שבע,31.2521018,34.7867691,31.513,34.452
באר שבע 288,2014-07-24,17:06:08,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,5,באר שבע,31.2521018,34.7867691,31.513,34.452
 באר שבע 289,2014-07-24,17:06:08,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,5,באר שבע,31.2521018,34.7867691,31.513,34.452
 באר שבע 291,2014-07-24,17:06:08,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,5,באר שבע,31.2521018,34.7867691,31.513,34.452
באר שבע 288,2014-07-24,17:06:11,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,6,באר שבע,31.2521018,34.7867691,31.513,34.452
 באר שבע 291,2014-07-24,17:06:11,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,6,באר שבע,31.2521018,34.7867691,31.513,34.452
באר שבע 288,2014-07-24,17:06:14,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,7,באר שבע,31.2521018,34.7867691,31.513,34.452
באר שבע 288,2014-07-24,17:06:15,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,8,באר שבע,31.2521018,34.7867691,31.513,34.452
 באר שבע 289,2014-07-24,17:06:15,2014-07-24T17:06:00,1,ירי רקטות וטילים,1,8,באר שבע,31.2521018,34.7867691,31.513,34.452
באר שבע 289,2014-07-24,17:06:49,2014-07-24T17:07:00,1,ירי רקטות וטילים,1,9,באר שבע,31.2521018,34.7867691,31.513,34.452
עוטף עזה 230,2014-07-27,09:57:09,2014-07-27T09:57:00,1,ירי רקטות וטילים,1,10,עוטף עזה,31.046051,34.851612,31.513,34.452
עוטף עזה 237,2014-07-27,10:55:01,2014-07-27T10:55:00,1,ירי רקטות וטילים,1,11,עוטף עזה,31.046051,34.851612,31.513,34.452
עוטף עזה 218,2014-07-27,12:29:40,2014-07-27T12:30:00,1,ירי רקטות וטילים,1,12,עוטף עזה,31.046051,34.851612,31.513,34.452
עוטף עזה 218,2014-07-27,13:44:10,2014-07-27T13:44:00,1,ירי רקטות וטילים,1,13,עוטף עזה,31.046051,34.851612,31.513,34.452
 עוטף עזה 217,2014-07-27,13:44:10,2014-07-27T13:44:00,1,ירי רקטות וטילים,1,13,עוטף עזה,31.046051,34.851612,31.513,34.452
עוטף עזה 218,2014-07-27,13:59:00,2014-07-27T13:59:00,1,ירי רקטות וטילים,1,14,עוטף עזה,31.046051,34.851612,31.513,34.452
עוטף עזה 217,2014-07-27,14:03:55,2014-07-27T14:04:00,1,ירי רקטות וטילים,1,15,עוטף עזה,31.046051,34.851612,31.513,34.452
עוטף עזה 237,2014-07-27,14:06:49,2014-07-27T14:07:00,1,ירי רקטות וטילים,1,16,עוטף עזה,31.046051,34.851612,31.513,34.452
עוטף עזה 224,2014-07-27,14:43:07,2014-07-27T14:43:00,1,ירי רקטות וטילים,1,17,עוטף עזה,31.0278694,34.8747046,31.513,34.452
עוטף עזה 224,2014-07-27,14:43:29,2014-07-27T14:43:00,1,ירי רקטות וטילים,1,18,עוטף עזה,31.0278694,34.8747046,31.513,34.452
עוטף עזה 224,2014-07-27,16:00:30,2014-07-27T16:01:00,1,ירי רקטות וטילים,1,19,עוטף עזה,31.0278694,34.8747046,31.513,34.452
אשקלון 250,2014-07-27,16:41:47,2014-07-27T16:42:00,1,ירי רקטות וטילים,1,20,אשקלון,31.6687885,34.5742523,31.513,34.452
 אשקלון 251,2014-07-27,16:41:47,2014-07-27T16:42:00,1,ירי רקטות וטילים,1,20,אשקלון,31.6687885,34.5742523,31.513,34.452
 עוטף עזה 251,2014-07-27,16:41:47,2014-07-27T16:42:00,1,ירי רקטות וטילים,1,20,עוטף עזה,31.046051,34.851612,31.513,34.452
 אשקלון 249,2014-07-27,16:41:47,2014-07-27T16:42:00,1,ירי רקטות וטילים,1,20,אשקלון,31.6687885,34.5742523,31.513,34.452
אשקלון 250,2014-07-27,16:41:50,2014-07-27T16:42:00,1,ירי רקטות וטילים,1,21,אשקלון,31.6687885,34.5742523,31.513,34.452
 אשקלון 251,2014-07-27,16:41:50,2014-07-27T16:42:00,1,ירי רקטות וטילים,1,21,אשקלון,31.6687885,34.5742523,31.513,34.452
 עוטף עזה 251,2014-07-27,16:41:50,2014-07-27T16:42:00,1,ירי רקטות וטילים,1,21,עוטף עזה,31.046051,34.851612,31.513,34.452
 אשקלון 249,2014-07-27,16:41:50,2014-07-27T16:42:00,1,ירי רקטות וטילים,1,21,אשקלון,31.6687885,34.5742523,31.513,34.452
 אשדוד 282,2014-07-27,16:41:50,2014-07-27T16:42:00,1,ירי רקטות וטילים,1,21,אשדוד,31.804381,34.655314,31.513,34.452
אשדוד 281,2014-07-27,16:41:57,2014-07-27T16:42:00,1,ירי רקטות וטילים,1,22,אשדוד,31.804381,34.655314,31.513,34.452
 אשקלון 250,2014-07-27,16:41:57,2014-07-27T16:42:00,1,ירי רקטות וטילים,1,22,אשקלון,31.6687885,34.5742523,31.513,34.452
 אשקלון 251,2014-07-27,16:41:57,2014-07-27T16:42:00,1,ירי רקטות וטילים,1,22,אשקלון,31.6687885,34.5742523,31.513,34.452
 עוטף עזה 251,2014-07-27,16:41:57,2014-07-27T16:42:00,1,ירי רקטות וטילים,1,22,עוטף עזה,31.046051,34.851612,31.513,34.452
 אשקלון 249,2014-07-27,16:41:57,2014-07-27T16:42:00,1,ירי רקטות וטילים,1,22,אשקלון,31.6687885,34.5742523,31.513,34.452
 אשדוד 280,2014-07-27,16:41:57,2014-07-27T16:42:00,1,ירי רקטות וטילים,1,22,אשדוד,31.804381,34.655314,31.513,34.452
 אשדוד 282,2014-07-27,16:41:57,2014-07-27T16:42:00,1,ירי רקטות וטילים,1,22,אשדוד,31.804381,34.655314,31.513,34.452
אשדוד 281,2014-07-27,16:42:24,2014-07-27T16:42:00,1,ירי רקטות וטילים,1,23,אשדוד,31.804381,34.655314,31.513,34.452
 אשדוד 280,2014-07-27,16:42:24,2014-07-27T16:42:00,1,ירי רקטות וטילים,1,23,אשדוד,31.804381,34.655314,31.513,34.452
 אשדוד 282,2014-07-27,16:42:24,2014-07-27T16:42:00,1,ירי רקטות וטילים,1,23,אשדוד,31.804381,34.655314,31.513,34.452
 אשקלון 249,2014-07-27,16:42:24,2014-07-27T16:42:00,1,ירי רקטות וטילים,1,23,אשקלון,31.6687885,34.5742523,31.513,34.452
אשדוד 282,2014-07-27,16:42:39,2014-07-27T16:43:00,1,ירי רקטות וטילים,1,24,אשדוד,31.804381,34.655314,31.513,34.452
 אשקלון 249,2014-07-27,16:42:39,2014-07-27T16:43:00,1,ירי רקטות וטילים,1,24,אשקלון,31.6687885,34.5742523,31.513,34.452
אשקלון 249,2014-07-27,16:42:47,2014-07-27T16:43:00,1,ירי רקטות וטילים,1,25,אשקלון,31.6687885,34.5742523,31.513,34.452
פזורה 31,2014-07-27,17:21:23,2014-07-27T17:21:00,1,ירי רקטות וטילים,1,26,פזורה,31.2557793,35.075906,31.513,34.452
באר שבע 286,2014-07-27,17:21:39,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,27,באר שבע,31.2521018,34.7867691,31.513,34.452
 פזורה 31,2014-07-27,17:21:39,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,27,פזורה,31.2557793,35.075906,31.513,34.452
 נגב 296,2014-07-27,17:21:39,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,27,נגב,30.7140861,34.8757476,31.513,34.452
באר שבע 292,2014-07-27,17:21:55,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,28,באר שבע,31.2521018,34.7867691,31.513,34.452
 באר שבע 286,2014-07-27,17:21:55,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,28,באר שבע,31.2521018,34.7867691,31.513,34.452
 פזורה 31,2014-07-27,17:21:55,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,28,פזורה,31.2557793,35.075906,31.513,34.452
 נגב 296,2014-07-27,17:21:55,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,28,נגב,30.7140861,34.8757476,31.513,34.452
 נגב 297,2014-07-27,17:21:55,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,28,נגב,30.7140861,34.8757476,31.513,34.452
באר שבע 292,2014-07-27,17:22:11,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,29,באר שבע,31.2521018,34.7867691,31.513,34.452
 באר שבע 286,2014-07-27,17:22:11,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,29,באר שבע,31.2521018,34.7867691,31.513,34.452
 פזורה 31,2014-07-27,17:22:11,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,29,פזורה,31.2557793,35.075906,31.513,34.452
 אשקלון 234,2014-07-27,17:22:11,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,29,אשקלון,31.6687885,34.5742523,31.513,34.452
 עוטף עזה 234,2014-07-27,17:22:11,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,29,עוטף עזה,31.316336,34.5251854,31.513,34.452
 נגב 296,2014-07-27,17:22:11,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,29,נגב,30.7140861,34.8757476,31.513,34.452
 נגב 297,2014-07-27,17:22:11,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,29,נגב,30.7140861,34.8757476,31.513,34.452
באר שבע 292,2014-07-27,17:22:14,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,30,באר שבע,31.2521018,34.7867691,31.513,34.452
 באר שבע 286,2014-07-27,17:22:14,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,30,באר שבע,31.2521018,34.7867691,31.513,34.452
 פזורה 31,2014-07-27,17:22:14,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,30,פזורה,31.2557793,35.075906,31.513,34.452
 אשקלון 234,2014-07-27,17:22:14,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,30,אשקלון,31.6687885,34.5742523,31.513,34.452
 עוטף עזה 234,2014-07-27,17:22:14,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,30,עוטף עזה,31.316336,34.5251854,31.513,34.452
 אשקלון 256,2014-07-27,17:22:14,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,30,אשקלון,31.6687885,34.5742523,31.513,34.452
 נגב 296,2014-07-27,17:22:14,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,30,נגב,30.7140861,34.8757476,31.513,34.452
 נגב 297,2014-07-27,17:22:14,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,30,נגב,30.7140861,34.8757476,31.513,34.452
באר שבע 292,2014-07-27,17:22:21,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,31,באר שבע,31.2521018,34.7867691,31.513,34.452
 באר שבע 286,2014-07-27,17:22:21,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,31,באר שבע,31.2521018,34.7867691,31.513,34.452
 אשקלון 234,2014-07-27,17:22:21,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,31,אשקלון,31.6687885,34.5742523,31.513,34.452
 עוטף עזה 234,2014-07-27,17:22:21,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,31,עוטף עזה,31.316336,34.5251854,31.513,34.452
 אשקלון 256,2014-07-27,17:22:21,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,31,אשקלון,31.6687885,34.5742523,31.513,34.452
 נגב 296,2014-07-27,17:22:21,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,31,נגב,30.7140861,34.8757476,31.513,34.452
 נגב 297,2014-07-27,17:22:21,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,31,נגב,30.7140861,34.8757476,31.513,34.452
באר שבע 292,2014-07-27,17:22:24,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,32,באר שבע,31.2521018,34.7867691,31.513,34.452
 באר שבע 286,2014-07-27,17:22:24,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,32,באר שבע,31.2521018,34.7867691,31.513,34.452
 אשקלון 234,2014-07-27,17:22:24,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,32,אשקלון,31.6687885,34.5742523,31.513,34.452
 עוטף עזה 234,2014-07-27,17:22:24,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,32,עוטף עזה,31.316336,34.5251854,31.513,34.452
 אשקלון 256,2014-07-27,17:22:24,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,32,אשקלון,31.6687885,34.5742523,31.513,34.452
 נגב 296,2014-07-27,17:22:24,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,32,נגב,30.7140861,34.8757476,31.513,34.452
 נגב 297,2014-07-27,17:22:24,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,32,נגב,30.7140861,34.8757476,31.513,34.452
 באר שבע 285,2014-07-27,17:22:24,2014-07-27T17:22:00,1,ירי רקטות וטילים,1,32,באר שבע,31.2521018,34.7867691,31.513,34.452
באר שבע 292,2014-07-27,17:22:33,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,33,באר שבע,31.2521018,34.7867691,31.513,34.452
 באר שבע 286,2014-07-27,17:22:33,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,33,באר שבע,31.2521018,34.7867691,31.513,34.452
 אשקלון 256,2014-07-27,17:22:33,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,33,אשקלון,31.6687885,34.5742523,31.513,34.452
 נגב 296,2014-07-27,17:22:33,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,33,נגב,30.7140861,34.8757476,31.513,34.452
 נגב 297,2014-07-27,17:22:33,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,33,נגב,30.7140861,34.8757476,31.513,34.452
 באר שבע 285,2014-07-27,17:22:33,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,33,באר שבע,31.2521018,34.7867691,31.513,34.452
באר שבע 292,2014-07-27,17:22:37,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,34,באר שבע,31.2521018,34.7867691,31.513,34.452
 אשקלון 256,2014-07-27,17:22:37,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,34,אשקלון,31.6687885,34.5742523,31.513,34.452
 נגב 296,2014-07-27,17:22:37,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,34,נגב,30.7140861,34.8757476,31.513,34.452
 נגב 297,2014-07-27,17:22:37,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,34,נגב,30.7140861,34.8757476,31.513,34.452
 באר שבע 285,2014-07-27,17:22:37,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,34,באר שבע,31.2521018,34.7867691,31.513,34.452
באר שבע 292,2014-07-27,17:22:41,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,35,באר שבע,31.2521018,34.7867691,31.513,34.452
 נגב 296,2014-07-27,17:22:41,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,35,נגב,30.7140861,34.8757476,31.513,34.452
 נגב 297,2014-07-27,17:22:41,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,35,נגב,30.7140861,34.8757476,31.513,34.452
 באר שבע 285,2014-07-27,17:22:41,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,35,באר שבע,31.2521018,34.7867691,31.513,34.452
באר שבע 292,2014-07-27,17:22:45,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,36,באר שבע,31.2521018,34.7867691,31.513,34.452
 באר שבע 286,2014-07-27,17:22:45,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,36,באר שבע,31.2521018,34.7867691,31.513,34.452
 נגב 296,2014-07-27,17:22:45,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,36,נגב,30.7140861,34.8757476,31.513,34.452
 נגב 297,2014-07-27,17:22:45,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,36,נגב,30.7140861,34.8757476,31.513,34.452
 באר שבע 285,2014-07-27,17:22:45,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,36,באר שבע,31.2521018,34.7867691,31.513,34.452
 באר שבע 291,2014-07-27,17:22:45,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,36,באר שבע,31.2521018,34.7867691,31.513,34.452
באר שבע 286,2014-07-27,17:22:53,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,37,באר שבע,31.2521018,34.7867691,31.513,34.452
 נגב 296,2014-07-27,17:22:53,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,37,נגב,30.7140861,34.8757476,31.513,34.452
 נגב 297,2014-07-27,17:22:53,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,37,נגב,30.7140861,34.8757476,31.513,34.452
 באר שבע 285,2014-07-27,17:22:53,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,37,באר שבע,31.2521018,34.7867691,31.513,34.452
 באר שבע 291,2014-07-27,17:22:53,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,37,באר שבע,31.2521018,34.7867691,31.513,34.452
באר שבע 286,2014-07-27,17:23:06,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,38,באר שבע,31.2521018,34.7867691,31.513,34.452
 נגב 297,2014-07-27,17:23:06,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,38,נגב,30.7140861,34.8757476,31.513,34.452
 באר שבע 285,2014-07-27,17:23:06,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,38,באר שבע,31.2521018,34.7867691,31.513,34.452
 באר שבע 291,2014-07-27,17:23:06,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,38,באר שבע,31.2521018,34.7867691,31.513,34.452
באר שבע 286,2014-07-27,17:23:21,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,39,באר שבע,31.2521018,34.7867691,31.513,34.452
 נגב 297,2014-07-27,17:23:21,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,39,נגב,30.7140861,34.8757476,31.513,34.452
 באר שבע 291,2014-07-27,17:23:21,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,39,באר שבע,31.2521018,34.7867691,31.513,34.452
באר שבע 286,2014-07-27,17:23:22,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,40,באר שבע,31.2521018,34.7867691,31.513,34.452
 באר שבע 291,2014-07-27,17:23:22,2014-07-27T17:23:00,1,ירי רקטות וטילים,1,40,באר שבע,31.2521018,34.7867691,31.513,34.452
באר שבע 292,2014-07-27,17:23:31,2014-07-27T17:24:00,1,ירי רקטות וטילים,1,41,באר שבע,31.2521018,34.7867691,31.513,34.452
 באר שבע 286,2014-07-27,17:23:31,2014-07-27T17:24:00,1,ירי רקטות וטילים,1,41,באר שבע,31.2521018,34.7867691,31.513,34.452
 באר שבע 291,2014-07-27,17:23:31,2014-07-27T17:24:00,1,ירי רקטות וטילים,1,41,באר שבע,31.2521018,34.7867691,31.513,34.452
 נגב 297,2014-07-27,17:23:31,2014-07-27T17:24:00,1,ירי רקטות וטילים,1,41,נגב,30.7140861,34.8757476,31.513,34.452
באר שבע 292,2014-07-27,17:23:41,2014-07-27T17:24:00,1,ירי רקטות וטילים,1,42,באר שבע,31.2521018,34.7867691,31.513,34.452
 נגב 297,2014-07-27,17:23:41,2014-07-27T17:24:00,1,ירי רקטות וטילים,1,42,נגב,30.7140861,34.8757476,31.513,34.452
נגב 297,2014-07-27,17:24:29,2014-07-27T17:24:00,1,ירי רקטות וטילים,1,43,נגב,30.7140861,34.8757476,31.513,34.452
עוטף עזה 217,2014-07-27,18:10:44,2014-07-27T18:11:00,1,ירי רקטות וטילים,1,44,עוטף עזה,31.046051,34.851612,31.513,34.452
עוטף עזה 237,2014-07-27,18:41:49,2014-07-27T18:42:00,1,ירי רקטות וטילים,1,45,עוטף עזה,31.046051,34.851612,31.513,34.452
עוטף עזה 237,2014-07-27,18:42:13,2014-07-27T18:42:00,1,ירי רקטות וטילים,1,46,עוטף עזה,31.046051,34.851612,31.513,34.452
עוטף עזה 230,2014-07-27,19:31:59,2014-07-27T19:32:00,1,ירי רקטות וטילים,1,47,עוטף עזה,31.046051,34.851612,31.513,34.452
עוטף עזה 224,2014-07-27,19:48:55,2014-07-27T19:49:00,1,ירי רקטות וטילים,1,48,עוטף עזה,31.0278694,34.8747046,31.513,34.452
עוטף עזה 217,2014-07-27,20:03:04,2014-07-27T20:03:00,1,ירי רקטות וטילים,1,49,עוטף עזה,31.046051,34.851612,31.513,34.452
אשקלון 254,2014-07-27,21:00:31,2014-07-27T21:01:00,1,ירי רקטות וטילים,1,50,אשקלון,31.6687885,34.5742523,31.513,34.452
 עוטף עזה 216,2014-07-27,21:00:31,2014-07-27T21:01:00,1,ירי רקטות וטילים,1,50,עוטף עזה,31.046051,34.851612,31.513,34.452
אשקלון 254,2014-07-27,21:00:35,2014-07-27T21:01:00,1,ירי רקטות וטילים,1,51,אשקלון,31.6687885,34.5742523,31.513,34.452
 עוטף עזה 216,2014-07-27,21:00:35,2014-07-27T21:01:00,1,ירי רקטות וטילים,1,51,עוטף עזה,31.046051,34.851612,31.513,34.452
 אשקלון 255,2014-07-27,21:00:35,2014-07-27T21:01:00,1,ירי רקטות וטילים,1,51,אשקלון,31.6687885,34.5742523,31.513,34.452
אשקלון 254,2014-07-27,21:00:35,2014-07-27T21:01:00,1,ירי רקטות וטילים,1,52,אשקלון,31.6687885,34.5742523,31.513,34.452
 עוטף עזה 216,2014-07-27,21:00:35,2014-07-27T21:01:00,1,ירי רקטות וטילים,1,52,עוטף עזה,31.046051,34.851612,31.513,34.452
 אשקלון 255,2014-07-27,21:00:35,2014-07-27T21:01:00,1,ירי רקטות וטילים,1,52,אשקלון,31.6687885,34.5742523,31.513,34.452
אשקלון 254,2014-07-27,21:00:48,2014-07-27T21:01:00,1,ירי רקטות וטילים,1,53,אשקלון,31.6687885,34.5742523,31.513,34.452
 אשקלון 255,2014-07-27,21:00:48,2014-07-27T21:01:00,1,ירי רקטות וטילים,1,53,אשקלון,31.6687885,34.5742523,31.513,34.452
אשקלון 254,2014-07-27,21:00:51,2014-07-27T21:01:00,1,ירי רקטות וטילים,1,54,אשקלון,31.6687885,34.5742523,31.513,34.452
 אשקלון 255,2014-07-27,21:00:51,2014-07-27T21:01:00,1,ירי רקטות וטילים,1,54,אשקלון,31.6687885,34.5742523,31.513,34.452
 עוטף עזה 216,2014-07-27,21:00:51,2014-07-27T21:01:00,1,ירי רקטות וטילים,1,54,עוטף עזה,31.046051,34.851612,31.513,34.452
אשקלון 255,2014-07-27,21:01:00,2014-07-27T21:01:00,1,ירי רקטות וטילים,1,55,אשקלון,31.6687885,34.5742523,31.513,34.452
 עוטף עזה 216,2014-07-27,21:01:00,2014-07-27T21:01:00,1,ירי רקטות וטילים,1,55,עוטף עזה,31.046051,34.851612,31.513,34.452
עוטף עזה 216,2014-07-27,21:01:02,2014-07-27T21:01:00,1,ירי רקטות וטילים,1,56,עוטף עזה,31.046051,34.851612,31.513,34.452
עוטף עזה 227,2014-07-27,23:19:00,2014-07-27T23:19:00,1,ירי רקטות וטילים,1,57,עוטף עזה,30.8855278,35.1417178,31.513,34.452
אשקלון 246,2014-07-28,07:14:47,2014-07-28T07:15:00,1,ירי רקטות וטילים,1,58,אשקלון,31.6687885,34.5742523,31.513,34.452
עוטף עזה 217,2014-07-28,12:38:38,2014-07-28T12:39:00,1,ירי רקטות וטילים,1,59,עוטף עזה,31.046051,34.851612,31.513,34.452
עוטף עזה 217,2014-07-28,12:39:11,2014-07-28T12:39:00,1,ירי רקטות וטילים,1,60,עוטף עזה,31.046051,34.851612,31.513,34.452
עוטף עזה 225,2014-07-28,13:28:55,2014-07-28T13:29:00,1,ירי רקטות וטילים,1,61,עוטף עזה,30.968964,34.9773783,31.513,34.452
עוטף עזה 225,2014-07-28,13:28:55,2014-07-28T13:29:00,1,ירי רקטות וטילים,1,62,עוטף עזה,30.968964,34.9773783,31.513,34.452
עוטף עזה 227,2014-07-28,14:46:41,2014-07-28T14:47:00,1,ירי רקטות וטילים,1,63,עוטף עזה,30.8855278,35.1417178,31.513,34.452
עוטף עזה 218,2014-07-28,14:56:31,2014-07-28T14:57:00,1,ירי רקטות וטילים,1,64,עוטף עזה,31.046051,34.851612,31.513,34.452
 עוטף עזה 217,2014-07-28,14:56:31,2014-07-28T14:57:00,1,ירי רקטות וטילים,1,64,עוטף עזה,31.046051,34.851612,31.513,34.452
אשקלון 246,2014-07-28,16:58:39,2014-07-28T16:59:00,1,ירי רקטות וטילים,1,65,אשקלון,31.6687885,34.5742523,31.513,34.452
 אשקלון 247,2014-07-28,16:58:39,2014-07-28T16:59:00,1,ירי רקטות וטילים,1,65,אשקלון,31.6687885,34.5742523,31.513,34.452
אשקלון 246,2014-07-28,16:59:03,2014-07-28T16:59:00,1,ירי רקטות וטילים,1,66,אשקלון,31.6687885,34.5742523,31.513,34.452
 אשקלון 247,2014-07-28,16:59:03,2014-07-28T16:59:00,1,ירי רקטות וטילים,1,66,אשקלון,31.6687885,34.5742523,31.513,34.452
אשקלון 247,2014-07-28,16:59:04,2014-07-28T16:59:00,1,ירי רקטות וטילים,1,67,אשקלון,31.6687885,34.5742523,31.513,34.452
אשקלון 246,2014-07-28,17:13:05,2014-07-28T17:13:00,1,ירי רקטות וטילים,1,68,אשקלון,31.6687885,34.5742523,31.513,34.452
 אשקלון 250,2014-07-28,17:13:05,2014-07-28T17:13:00,1,ירי רקטות וטילים,1,68,אשקלון,31.6687885,34.5742523,31.513,34.452
אשקלון 246,2014-07-28,17:13:07,2014-07-28T17:13:00,1,ירי רקטות וטילים,1,69,אשקלון,31.6687885,34.5742523,31.513,34.452
 עוטף עזה 218,2014-07-28,17:13:07,2014-07-28T17:13:00,1,ירי רקטות וטילים,1,69,עוטף עזה,31.046051,34.851612,31.513,34.452
 עוטף עזה 217,2014-07-28,17:13:07,2014-07-28T17:13:00,1,ירי רקטות וטילים,1,69,עוטף עזה,31.046051,34.851612,31.513,34.452
